K,C
4.89031e-14,5.65396e+30
4.9091e-14,5.60001e+30
4.92796e-14,5.54658e+30
4.94689e-14,5.49366e+30
4.9659e-14,5.44124e+30
4.98498e-14,5.38932e+30
5.00414e-14,5.3379e+30
5.02336e-14,5.28697e+30
5.04267e-14,5.23652e+30
5.06204e-14,5.18656e+30
5.08149e-14,5.13707e+30
5.10102e-14,5.08805e+30
5.12062e-14,5.03951e+30
5.14029e-14,4.99142e+30
5.16004e-14,4.94379e+30
5.17987e-14,4.89662e+30
5.19977e-14,4.8499e+30
5.21975e-14,4.80363e+30
5.23981e-14,4.75779e+30
5.25994e-14,4.71239e+30
5.28015e-14,4.66743e+30
5.30044e-14,4.6229e+30
5.3208e-14,4.57879e+30
5.34125e-14,4.5351e+30
5.36177e-14,4.49183e+30
5.38237e-14,4.44897e+30
5.40305e-14,4.40652e+30
5.42381e-14,4.36447e+30
5.44465e-14,4.32283e+30
5.46557e-14,4.28158e+30
5.48657e-14,4.24073e+30
5.50765e-14,4.20027e+30
5.52882e-14,4.16019e+30
5.55006e-14,4.12049e+30
5.57138e-14,4.08118e+30
5.59279e-14,4.04224e+30
5.61428e-14,4.00367e+30
5.63585e-14,3.96547e+30
5.65751e-14,3.92763e+30
5.67924e-14,3.89015e+30
5.70107e-14,3.85304e+30
5.72297e-14,3.81627e+30
5.74496e-14,3.77986e+30
5.76704e-14,3.74379e+30
5.78919e-14,3.70807e+30
5.81144e-14,3.67269e+30
5.83377e-14,3.63765e+30
5.85618e-14,3.60294e+30
5.87868e-14,3.56856e+30
5.90127e-14,3.53451e+30
5.92395e-14,3.50079e+30
5.94671e-14,3.46738e+30
5.96956e-14,3.4343e+30
5.99249e-14,3.40153e+30
6.01552e-14,3.36907e+30
6.03863e-14,3.33693e+30
6.06183e-14,3.30509e+30
6.08513e-14,3.27355e+30
6.10851e-14,3.24232e+30
6.13198e-14,3.21138e+30
6.15554e-14,3.18074e+30
6.17919e-14,3.15039e+30
6.20293e-14,3.12033e+30
6.22677e-14,3.09056e+30
6.25069e-14,3.06107e+30
6.27471e-14,3.03186e+30
6.29882e-14,3.00293e+30
6.32302e-14,2.97428e+30
6.34732e-14,2.9459e+30
6.3717e-14,2.91779e+30
6.39619e-14,2.88995e+30
