K,C
65.3722363044,4.09893221656
65.8755628428,4.17065367528
66.38276469,4.24578254489
66.8938716836,4.32438107651
67.4089138908,4.40651278023
67.9279216103,4.49224241598
68.4509253743,4.58163598342
68.9779559498,4.67476071109
69.5090443408,4.77168504467
70.04422179,4.87247863433
70.5835197808,4.97721232122
71.1269700387,5.08595812303
71.6746045337,5.19878921866
72.2264554819,5.31577993196
72.7825553475,5.43700571454
73.3429368444,5.56254312761
73.9076329388,5.69246982294
74.4766768503,5.82686452282
75.0501020545,5.96580699912
75.6279422847,6.1093780513
76.2102315339,6.25765948365
76.7970040569,6.41073408137
77.3882943721,6.56868558587
77.9841372638,6.73159866908
78.5845677842,6.89955890681
79.1896212551,7.07265275117
79.7993332704,7.25096750218
80.4137396982,7.43459127838
81.0328766825,7.62361298657
81.6567806458,7.81812229074
82.2854882908,8.0182095801
82.9190366031,8.22396593627
83.5574628529,8.43548309972
84.2008045973,8.65285343534
84.8490996825,8.87616989733
85.5023862464,9.10552599332
86.1607027203,9.34101574775
86.8240878315,9.58273366464
87.4925806053,9.8307746897
88.1662203678,10.0852341718
88.8450467474,10.3462078238
89.5290996782,10.6137916832
90.2184194013,10.8880820717
90.9130464679,11.1691755549
91.6130217412,11.457168901
92.3183863992,11.7521590399
93.029181937,12.0542430212
93.7454501689,12.3635179724
94.4672332315,12.6800810567
95.1945735855,13.0040294305
95.9275140187,13.3354602012
96.6660976484,13.6744703848
97.4103679237,14.0211568626
98.1603686283,14.3756163396
98.9161438832,14.7379453015
99.6777381487,15.1082399726
100.445196228,15.4865962736
101.218563268,15.8731097801
101.997884765,16.2678756808
102.783206565,16.6709887363
103.574574866,17.082543239
104.372036222,17.5026329723
105.175637547,17.9313511713
105.985426114,18.3687904837
106.801449562,18.8150429315
107.623755895,19.2701998736
108.452393487,19.7343519686
109.287411086,20.2075891392
110.128857814,20.6900005372
110.97678317,21.1816745091
111.831237038,21.6826985633
112.692269681,22.1931593382
113.559931753,22.7131425712
114.434274296,23.242733069
115.315348746,23.7820146796
116.203206935,24.3310702647
117.097901093,24.8899816739
117.999483852,25.4588297209
118.908008252,26.0376941597
119.823527738,26.6266536637
120.746096169,27.2257858053
121.675767816,27.8351670378
122.61259737,28.4548726779
123.556639944,29.0849768913
124.507951072,29.7255526782
125.466586719,30.3766718622
126.432603278,31.0384050792
127.406057578,31.7108217697
128.387006886,32.3939901714
129.375508908,33.0879773145
130.371621795,33.7928490186
131.375404147,34.508669891
132.386915013,35.2355033273
133.4062139,35.9734115134
134.433360769,36.7224554296
