K,C
0.650824915072,0.378938205623
0.65332558928,0.376693404827
0.655835871866,0.374446181512
0.658355799747,0.372196603072
0.660885409985,0.3699447384
0.663424739782,0.367690657902
0.665973826483,0.3654344335
0.668532707577,0.363176138642
0.671101420699,0.360915848313
0.673680003624,0.358653639037
0.676268494277,0.35638958889
0.678866930727,0.354123777501
0.681475351186,0.351856286063
0.684093794019,0.349587197338
0.686722297733,0.347316595657
0.689360900986,0.345044566934
0.692009642583,0.342771198664
0.69466856148,0.340496579928
0.697337696779,0.338220801397
0.700017087737,0.335943955335
0.702706773759,0.333666135603
0.705406794401,0.331387437655
0.708117189372,0.329107958546
0.710837998533,0.326827796928
0.713569261901,0.324547053049
0.716311019642,0.322265828758
0.719063312079,0.319984227495
0.72182617969,0.317702354297
0.724599663108,0.315420315787
0.727383803123,0.313138220176
0.73017864068,0.310856177258
0.732984216883,0.308574298401
0.735800572993,0.306292696542
0.73862775043,0.304011486183
0.741465790772,0.301730783379
0.744314735759,0.299450705733
0.747174627289,0.297171372381
0.750045507423,0.294892903987
0.752927418382,0.292615422729
0.75582040255,0.290339052284
0.758724502475,0.288063917818
0.761639760865,0.285790145972
0.764566220596,0.28351786484
0.767503924706,0.281247203961
0.7704529164,0.278978294295
0.773413239049,0.276711268206
0.77638493619,0.274446259443
0.779368051526,0.272183403118
0.78236262893,0.269922835684
0.785368712444,0.26766469491
0.788386346277,0.265409119861
0.791415574809,0.263156250866
0.794456442591,0.260906229497
0.797508994343,0.258659198536
0.800573274961,0.256415301948
0.80364932951,0.254174684852
0.806737203228,0.251937493486
0.80983694153,0.249703875173
0.812948590001,0.247473978291
0.816072194406,0.245247952233
0.819207800682,0.243025947375
0.822355454945,0.240808115029
0.825515203486,0.238594607414
0.828687092776,0.236385577606
0.831871169463,0.234181179501
0.835067480375,0.231981567771
0.838276072519,0.229786897818
0.841496993085,0.227597325725
0.844730289442,0.225413008215
0.847976009141,0.223234102597
0.851234199917,0.221060766719
0.854504909688,0.218893158915
0.857788186555,0.216731437952
0.861084078805,0.214575762977
0.864392634911,0.212426293464
0.867713903532,0.210283189155
0.871047933511,0.208146610002
0.874394773884,0.206016716111
0.877754473871,0.203893667681
0.881127082883,0.201777624942
0.88451265052,0.199668748096
0.887911226574,0.197567197251
0.891322861028,0.195473132357
0.894747604054,0.193386713143
0.898185506022,0.191308099051
0.901636617491,0.189237449166
0.905100989217,0.187174922152
0.90857867215,0.18512067618
0.912069717435,0.18307486886
0.915574176416,0.181037657174
0.919092100631,0.179009197399
0.922623541818,0.176989645041
0.926168551914,0.174979154757
0.929727183055,0.172977880292
0.933299487577,0.170985974395
0.936885518018,0.169003588754
0.940485327116,0.167030873918
0.944098967814,0.165067979223
0.947726493257,0.163115052723
0.951367956796,0.161172241108
0.955023411983,0.159239689635
0.95869291258,0.157317542051
0.962376512553,0.155405940524
0.966074266077,0.15350502556
0.969786227535,0.151614935937
0.973512451516,0.14973580863
0.977252992824,0.147867778735
0.981007906468,0.1460109794
0.984777247673,0.14416554175
0.988561071874,0.142331594821
0.992359434718,0.140509265481
0.996172392068,0.138698678371
1,0.136899955826
1.00384231481,0.135113217815
1.007699393,0.13333858187
1.0115712913,0.131576163023
1.01545806665,0.12982607374
1.01935977621,0.12808842386
1.02327647737,0.126363320532
1.02720822773,0.124650868157
1.03115508512,0.122951168326
1.03511710757,0.121264319768
1.03909435336,0.119590418292
1.04308688098,0.117929556736
1.04709474915,0.116281824914
1.05111801681,0.114647309567
1.05515674313,0.113026094316
1.0592109875,0.111418259619
1.06328080957,0.109823882724
1.06736626916,0.108243037634
1.07146742638,0.106675795061
1.07558434154,0.105122222398
1.07971707518,0.103582383678
1.08386568809,0.102056339548
1.08803024127,0.10054414724
1.09221079598,0.099045860541
1.09640741369,0.0975615297717
1.10062015613,0.0960912017662
1.10484908525,0.0946349198527
1.10909426325,0.0931927238374
1.11335575256,0.0917646499919
1.11763361586,0.0903507310429
1.12192791605,0.088950996164
1.12623871629,0.0875654709711
1.13056607999,0.0861941775203
1.13491007078,0.084837134308
1.13927075255,0.0834943562742
1.14364818943,0.0821658548087
1.1480424458,0.0808516377592
1.15245358629,0.0795517094432
1.15688167577,0.0782660706614
1.16132677936,0.0769947187146
1.16578896244,0.0757376474229
1.17026829064,0.0744948471473
1.17476482982,0.073266304814
1.17927864612,0.0720520039415
1.18380980592,0.0708519246696
1.18835837587,0.0696660437909
1.19292442285,0.0684943347854
1.19750801402,0.067336767856
1.2021092168,0.0661933099677
1.20672809884,0.065063924888
1.21136472808,0.0639485732298
1.21601917272,0.0628472124961
1.22069150119,0.0617597971272
1.22538178222,0.0606862785491
1.23009008478,0.0596266052242
1.23481647813,0.0585807227038
1.23956103177,0.0575485736817
1.24432381548,0.0565300980502
1.2491048993,0.0555252329568
1.25390435355,0.0545339128632
1.25872224881,0.0535560696047
1.26355865595,0.0525916324517
1.26841364608,0.051640528172
1.27328729061,0.0507026810939
1.27817966122,0.0497780131709
1.28309082986,0.0488664440471
1.28802086876,0.0479678911232
1.29296985041,0.0470822696232
1.29793784761,0.0462094926627
1.30292493342,0.0453494713164
1.30793118119,0.0445021146869
1.31295666453,0.043667329974
1.31800145736,0.042845022544
1.32306563388,0.0420350959992
1.32814926856,0.0412374522479
1.33325243616,0.0404519915744
1.33837521173,0.0396786127085
1.34351767063,0.0389172128958
1.34867988847,0.0381676879673
